Month,Daily change
Jun 29,0.57%
Jun 26,-1.89%
Jun 25,0.51%
Jun 24,-2.29%
Jun 23,1.61%
Jun 22,-0.6%
Jun 19,0.67%
Jun 18,0.45%
Jun 17,-0.57%
Jun 16,3.25%
Jun 15,-2.65%
Jun 12,-2.84%
Jun 10,0.3%
Jun 9,-0.31%
Jun 8,-0.07%
Jun 5,3.13%
Jun 4,1.12%
Jun 3,1.76%
Jun 2,0.16%
Jun 1,0.63%
May 29,0.24%
May 28,0.64%
May 27,-0.12%
May 26,3.95%
May 25,0.88%
May 22,-0.45%
May 21,-0.9%
May 20,0.76%
May 19,0.07%
May 18,4.23%
May 15,-0.42%
May 14,-2.18%
May 13,-0.5%
May 12,2.22%
May 11,-1.19%
May 8,1.21%
May 7,1.24%
May 6,-1.93%
May 5,-0.11%
May 4,-2.91%
Apr 30,-0.16%
Apr 29,3.58%
Apr 28,0.14%
Apr 27,-0.62%
Apr 24,-1.49%
Apr 23,1.31%
Apr 22,2.01%
Apr 21,-4.06%
Apr 20,0.89%
Apr 17,1.73%
Apr 16,-0.52%
Apr 15,-3.38%
Apr 14,2.89%
Apr 9,2.31%
Apr 8,-1.52%
Apr 7,1.42%
Apr 6,4.95%
Apr 3,1%
Apr 2,0.62%
Apr 1,-2.1%
Mar 31,2.38%
Mar 30,0.12%
Mar 27,-1.08%
Mar 26,3.48%
Mar 25,-0.63%
Mar 24,3.24%
Mar 23,-5.57%
Mar 20,1.29%
Mar 19,4.86%
Mar 18,-1.96%
Mar 17,6.54%
Mar 16,-1.79%
Mar 13,4.61%
Mar 12,-13.28%
Mar 11,-5.87%
Mar 10,-1.63%
Mar 9,-7.87%
Mar 6,-3.18%
Mar 5,-2.05%
Mar 4,-1.52%
Mar 3,4.53%
Mar 2,2.19%
Feb 28,-4.41%
Feb 27,-4.29%
Feb 26,-0.63%
Feb 25,-2.76%
Feb 24,-4.2%
Feb 21,-0.54%
Feb 20,-0.72%
Feb 19,0.08%
Feb 18,-0.36%
Feb 17,0.28%
Feb 14,-0.23%
Feb 13,-0.29%
Feb 12,0.9%
Feb 11,0.69%
Feb 10,-0.82%
Feb 7,-0.07%
Feb 6,-0.53%
Feb 5,0.77%
Feb 4,1.63%
Feb 3,0.34%
Jan 31,-0.68%
Jan 30,-0.87%
Jan 29,0.01%
Jan 28,0.68%
Jan 27,-3.27%
Jan 24,0.27%
Jan 23,0.09%
Jan 22,-0.53%
Jan 21,-0.92%
Jan 20,0.1%
