Major industry,Change in employment in thousands
Health care and social assistance,3396.1
Professional and business services,1662.4
Leisure and hospitality,1556.4
Construction,807.5
Nonagriculture self-employed,529.4
Educational services,473.5
Transportation and warehousing,322.3
Financial activities,280.6
State and local government,251.0
Other services,94.3
Mining,44.6
Agriculture wage and salary,40.0
Information,5.6
Utilities,-17.4
Agriculture self-employed,-29.4
Wholesale trade,-98.5
Federal government,-125.8
Retail trade,-153.7
Manufacturing,-640.7
