Leading companies in the information services industry,Turnover in million NOK
Tidal Music AS,931.82
Visolit Norway AS,864.83
Aller Media AS,762.73
Telecomputing Norway AS,725.53
Ambita AS,393.97
Refinitiv Norge AS,326.53
Visma It & Communications AS,286.96
Norsk Telegrambyrå,258.41
Bjaroy Gruppen AS,250.61
Gule Sider AS,235.31
Buypass AS,225.07
Lendo AS,204.15
Sony Music Entertainment Norway AS,189.42
Ikomm AS,179.21
Google Norway AS,177.87
Braathe AS,176.41
Iron Mountain Norge AS,159.15
Digitale Medier 1881 AS,157.86
Softlayer Technologies Norge AS,154.56
Jakob Hatteland Solutions AS,150.17
