Response,Actual,Estimate
Cardiovascular diseases such as heart disease,32%,11%
Cancer,24%,15%
Neurological disorders,9%,5%
Lower respiratory infections such as pneumonia,6%,5%
Chronic respiratory diseases such as asthma,5%,6%
Diabetes and kidney diseases,5%,7%
Digestive diseases,5%,6%
Acciental deaths such as drowning,3%,7%
Transport injuries,2%,10%
Suicide,2%,7%
HIV/AIDS and sexually transmitted infections,1%,5%
Interpersonal violence,1%,8%
Substance use disorders,1%,8%
Terrorism and conflict,0%,5%
